year,symbol,fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,reportedEPS,Sector,Industry,futureEPS
2013,PFE,2013-12-31,172101000000,56244000000.0,2183000000.0,32408000000.0,6166000000.0,9357000000.0,114766000000.0,12397000000.0,13281000000.0,81904000000.0,39385000000.0,42519000000.0,557000000.0,16406000000.0,30225000000.0,3689000000.0,3596000000.0,95481000000.0,23366000000.0,3234000000.0,,6027000000.0,3000000000.0,72115000000.0,,37160000000.0,2060000000.0,30462000000.0,3000000000.0,9972000000.0,4767000000.0,76307000000.0,67923000000.0,69732000000.0,453000000.0,6438000000.0,20944000000,50893000000,29949000000,9586000000.0,-6044000000,14355000000.0,6678000000.0,28082000000,403000000.0,-1011000000.0,403000000.0,1414000000.0,320000000.0,532000000.0,,4800000000.0,26309000000,4306000000,1414000000.0,11380000000.0,24658000000.0,27723000000,32523000000.0,22003000000,2.24,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,3.0
2013,PG,2013-06-30,139263000000,23990000000.0,5930000000.0,5947000000.0,6909000000.0,6508000000.0,115273000000.0,21666000000.0,21346000000.0,86760000000.0,31572000000.0,55188000000.0,878000000.0,,17000000.0,4626000000.0,6847000000.0,70554000000.0,30037000000.0,8777000000.0,,12432000000.0,7926000000.0,837000000.0,,23617000000.0,4506000000.0,19111000000.0,31543000000.0,2527000000.0,10579000000.0,68709000000.0,71966000000.0,80197000000.0,4009000000.0,2930600000.0,13813000000,29200000000,70603000000,42428000000.0,13817000000,26000000000.0,1900000000.0,29926000000,87000000.0,-667000000.0,,667000000.0,916000000.0,941000000.0,,528000000.0,14538000000,3226000000,667000000.0,11211000000.0,13142000000.0,15205000000,15733000000.0,11312000000,4.06,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",4.22
2013,PGR,2013-12-31,24408200000,1347700000.0,75100000.0,1347700000.0,75100000.0,,960900000.0,960900000.0,680400000.0,,,,18054700000.0,89800000.0,1272600000.0,-1272600000.0,,18218700000.0,16358000000.0,,,,,1861000000.0,,1860900000.0,,2073700000.0,1860900000.0,14573000000.0,13654200000.0,6189500000.0,,3500000000.0,595800000.0,597300000.0,-6763800000,18170900000,24934700000,4000000.0,-25931100000,683900000.0,,2783600000,-18800000.0,303800000.0,422000000.0,118200000.0,34818600000.0,,101300000.0,101300000.0,1720000000,554600000,118200000.0,1165400000.0,1246100000.0,1838200000,1939500000.0,1165400000,1.58,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",5.01
2013,PLD,2013-12-31,24572307000,491129000.0,491129000.0,491129000.0,1.0,,4652506000.0,18255479000.0,,0.0,222267000.0,0.0,22689760000.0,4430239000.0,14210000.0,493945999.0,,10395854000.0,900000.0,,222267000.0,,725483000.0,431100000.0,,1000000000.0,,,9011216000.0,243584000.0,742191000.0,13711158000.0,-14176453000.0,-3932664000.0,4988000.0,498799000.0,874409000,2293501000,1419092000,541217000.0,899053000,229207000.0,,1446074000,,-379327000.0,,379327000.0,922342000.0,26948000.0,,648668000.0,450862000,106733000,656341000.0,229529000.0,141300000.0,830189000,1478857000.0,344129000,0.0669,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,2.84
2013,PM,2013-12-31,38168000000,16852000000.0,2154000000.0,2154000000.0,9846000000.0,3853000000.0,21467000000.0,6755000000.0,7202000000.0,12086000000.0,3193000000.0,8893000000.0,2360000000.0,1536000000.0,,497000000.0,939000000.0,44442000000.0,17066000000.0,1274000000.0,,3655000000.0,2400000000.0,26545000000.0,,24023000000.0,1255000000.0,,2400000000.0,12137000000.0,563000000.0,-7766000000.0,32142000000.0,27843000000.0,0.0,1622000000.0,20807000000,78933000000,62015000000,60055000000.0,13515000000,769000000.0,449000000.0,3513000000,131000000.0,-973000000.0,131000000.0,1104000000.0,-123000000.0,-22000000.0,789000000.0,882000000.0,12246000000,3670000000,1104000000.0,8850000000.0,7990000000.0,13350000000,14232000000.0,8576000000,5.4,MANUFACTURING,CIGARETTES,5.1
2013,QCOM,2013-09-30,45516000000,19555000000.0,6142000000.0,14966000000.0,1302000000.0,2142000000.0,38396000000.0,2995000000.0,3173000000.0,6529000000.0,2553000000.0,3976000000.0,22199000000.0,14440000000.0,8824000000.0,572000000.0,938000000.0,9429000000.0,5213000000.0,1554000000.0,4167000000.0,,839000000.0,4235000000.0,,17000000.0,,,17000000.0,2319000000.0,550000000.0,36088000000.0,,25461000000.0,0.0,1685000000.0,15046000000,24866000000,9820000000,9820000000.0,7230000000,2518000000.0,4967000000.0,8269000000,697000000.0,-23000000.0,,23000000.0,4000000.0,,515000000.0,1017000000.0,8202000000,1349000000,23000000.0,6845000000.0,6740000000.0,8225000000,9242000000.0,6853000000,4.51,MANUFACTURING,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,3.43
2013,RTX,2013-12-31,90594000000,29442000000.0,4607000000.0,4619000000.0,10330000000.0,11458000000.0,58760000000.0,8866000000.0,9795000000.0,43689000000.0,15521000000.0,28168000000.0,524000000.0,1156000000.0,12000000.0,1071000000.0,6205000000.0,57264000000.0,22800000000.0,6965000000.0,,500000000.0,388000000.0,34464000000.0,,19853000000.0,112000000.0,,20241000000.0,8891000000.0,11279000000.0,31866000000.0,20431000000.0,40539000000.0,14638000000.0,901300000.0,17305000000,62903000000,52749000000,45321000000.0,8549000000,6364000000.0,2342000000.0,10390000000,,-895000000.0,,897000000.0,23000000.0,,971000000.0,710000000.0,7720000000,1999000000,-23000000.0,5265000000.0,8289000000.0,8549000000,9259000000.0,5721000000,6.22,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,7.62
2013,SBUX,2013-09-30,11516700000,5471400000.0,2575700000.0,3233800000.0,1111200000.0,561400000.0,6115000000.0,3200500000.0,4581600000.0,1137700000.0,274800000.0,862900000.0,543500000.0,554800000.0,658100000.0,287700000.0,185300000.0,7034400000.0,5377300000.0,491700000.0,653700000.0,,125000000.0,1695400000.0,,1299400000.0,,1299400000.0,1299400000.0,4106900000.0,357700000.0,4480200000.0,,4130300000.0,800000.0,753200000.0,6407900000,14892200000,8484300000,6382300000.0,-325400000,1450500000.0,,2587300000,,-28100000.0,,28100000.0,9300000.0,123600000.0,,621400000.0,-230400000,-238700000,28100000.0,8800000.0,52600000.0,-202300000,419100000.0,8300000,1.12,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,2.35
2013,SCHW,2013-12-31,143642000000,7728000000.0,7728000000.0,7728000000.0,82453000000.0,,2283000000.0,790000000.0,1790000000.0,1493000000.0,266000000.0,1227000000.0,108478000000.0,94872000000.0,51618000000.0,-14631000000.0,,133261000000.0,1200000000.0,,,,,1903000000.0,,1814000000.0,,1989000000.0,1814000000.0,94647000000.0,,10381000000.0,3716000000.0,9253000000.0,15000000.0,1294000000.0,1706000000,5435000000,3729000000,,223000000,2712000000.0,,1588000000,,1980000000.0,2085000000.0,105000000.0,3228000000.0,,154000000.0,202000000.0,1705000000,634000000,105000000.0,1071000000.0,782000000.0,1810000000,2012000000.0,1071000000,0.78,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",2.45
2013,SHW,2013-12-31,6382507000,3158717000.0,744889000.0,744889000.0,970815000.0,1097751000.0,3223790000.0,1021383000.0,1719997000.0,1491986000.0,313299000.0,1178687000.0,143032000.0,,,240766000.0,407975000.0,4607972000.0,2528557000.0,998484000.0,,599499000.0,96551000.0,2079415000.0,,0.0,502948000.0,1122373000.0,96551000.0,513433000.0,688168000.0,1774535000.0,1639174000.0,1774050000.0,112902000.0,100129380.0,4616566000,10186000000,5568966000,5568966000.0,1442000000,3467681000.0,47042000.0,3943717000,3242000.0,-62714000.0,,62714000.0,-12876000.0,-936000.0,159000000.0,29031000.0,1085958000,333397000,62714000.0,752561000.0,801906000.0,1148672000,1177703000.0,752561000,2.53,TRADE & SERVICES,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",6.17
2013,SO,2013-12-31,64264000000,5614000000.0,659000000.0,659000000.0,2298000000.0,1009000000.0,56423000000.0,51208000000.0,23059000000.0,,,,218000000.0,2348000000.0,3000000.0,39000000.0,618000000.0,44407000000.0,5525000000.0,1376000000.0,,1951000000.0,1482000000.0,36924000000.0,,20803000000.0,469000000.0,,60668000000.0,346000000.0,585000000.0,19008000000.0,250000000.0,9510000000.0,4461000000.0,886000000.0,15472000000,17087000000,1615000000,461000000.0,3255000000,1057000000.0,,1154000000,19000000.0,,,824000000.0,,-81000000.0,,1901000000.0,2493000000,849000000,824000000.0,1710000000.0,3384000000.0,3255000000,5088000000.0,1644000000,2.73,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,3.07
2013,SPGI,2013-12-31,6061000000,2941000000.0,1542000000.0,1560000000.0,-918000000.0,979000000.0,2864000000.0,249000000.0,609000000.0,2442000000.0,1033000000.0,1409000000.0,,,18000000.0,1315000000.0,168000000.0,3907000000.0,2372000000.0,210000000.0,1268000000.0,0.0,0.0,1535000000.0,,799000000.0,,799000000.0,799000000.0,402000000.0,266000000.0,1301000000.0,6746000000.0,7384000000.0,412000000.0,270400000.0,3138000000,4702000000,1564000000,3458000000.0,1358000000,1631000000.0,,3332000000,,-59000000.0,,59000000.0,29000000.0,,86000000.0,51000000.0,1801000000,425000000,59000000.0,783000000.0,1697000000.0,1860000000,1911000000.0,1376000000,3.33,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",8.5
2013,SYK,2013-12-31,15399000000,8335000000.0,1339000000.0,3980000000.0,1422000000.0,1518000000.0,7424000000.0,1081000000.0,1416000000.0,5833000000.0,1989000000.0,3844000000.0,2738000000.0,,2641000000.0,1415000000.0,494000000.0,6696000000.0,2657000000.0,314000000.0,,25000000.0,25000000.0,3816000000.0,,2739000000.0,,2739000000.0,2764000000.0,765000000.0,1300000000.0,9047000000.0,,7617000000.0,38000000.0,378.0,6019000000,8850000000,7231000000,2977000000.0,1256000000,3467000000.0,536000000.0,4763000000,,-171000000.0,,171000000.0,,-44000000.0,169000000.0,138000000.0,1212000000,206000000,171000000.0,1006000000.0,1109000000.0,1256000000,1521000000.0,1006000000,4.24,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,7.31
2013,T,2013-12-31,277787000000,23196000000.0,3339000000.0,3339000000.0,1148000000.0,12918000000.0,217405000000.0,110968000000.0,163830000000.0,131485000000.0,61334000000.0,69273000000.0,3860000000.0,3860000000.0,106000000.0,4780000000.0,8278000000.0,186813000000.0,34995000000.0,11561000000.0,,5498000000.0,21000000.0,115002000000.0,,69290000000.0,5477000000.0,,21000000.0,4178000000.0,15766000000.0,90974000000.0,45619000000.0,31141000000.0,6495000000.0,5266000000.0,77288000000,128752000000,51464000000,31239000000.0,30752000000,28414000000.0,1488000000.0,98273000000,,-3940000000.0,,3940000000.0,,596000000.0,17722000000.0,672000000.0,27746000000,9328000000,3940000000.0,18418000000.0,21063000000.0,31686000000,32358000000.0,18418000000,2.5,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),3.52
2013,TJX,2013-02-02,9511855000,5711543000.0,1811957000.0,2047810000.0,3014214000.0,222788000.0,3484043000.0,3223242000.0,3671514000.0,170300000.0,12000.0,170288000.0,,,235853000.0,330512000.0,260801000.0,5845918000.0,3760596000.0,1930568000.0,,,774552000.0,2085322000.0,,774552000.0,,774600000.0,774552000.0,581324000.0,961284000.0,3665937000.0,-3665937000.0,3155427000.0,723902000.0,723902001.0,7356972000,25878372000,18521400000,18521400000.0,3441524000,4250446000.0,,5985328000,11657000.0,29175000.0,77757000.0,48582000.0,2100000.0,,515900000.0,515900000.0,3077351000,1170664000,48582000.0,1906687000.0,1885870000.0,3125933000,3641833000.0,1906687000,1.28,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,1.97
2013,TMO,2013-12-31,31863400000,9880700000.0,5826000000.0,5830500000.0,1494500000.0,1942300000.0,22004000000.0,1767400000.0,1313700000.0,19574600000.0,7071300000.0,12503300000.0,28000000.0,13700000.0,4500000.0,420900000.0,640700000.0,15007300000.0,3126000000.0,691500000.0,198900000.0,987700000.0,280000000.0,11881300000.0,,10474400000.0,707700000.0,,10474400000.0,815900000.0,771800000.0,16856100000.0,412200000.0,8753300000.0,369600000.0,361800000.0,5529100000,13090300000,7561200000,7561200000.0,1609600000,3446300000.0,395500000.0,4867000000,28000000.0,-262100000.0,,262100000.0,-16600000.0,-56000000.0,236800000.0,763100000.0,1313700000,40400000,262100000.0,1279100000.0,1346500000.0,1575800000,2338900000.0,1273300000,5.42,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC",11.12
2013,TMUS,2013-12-31,49953000000,12228000000.0,5891000000.0,5991000000.0,586000000.0,3619000000.0,19603000000.0,15349000000.0,19649000000.0,21009000000.0,1204000000.0,1683000000.0,,,100000000.0,1252000000.0,292000000.0,35708000000.0,5808000000.0,3026000000.0,445000000.0,244000000.0,226000000.0,29900000000.0,,410000000.0,18000000.0,14345000000.0,410000000.0,353000000.0,701000000.0,14245000000.0,0.0,,0.0,801879804.0,3989000000,24420000000,20431000000,12617000000.0,996000000,7382000000.0,,11522000000,,-545000000.0,,545000000.0,,89000000.0,3400000000.0,255000000.0,51000000,16000000,545000000.0,35000000.0,-3000000.0,596000000,851000000.0,35000000,0.18,TECHNOLOGY,RADIOTELEPHONE COMMUNICATIONS,3.38
2013,TSLA,2013-12-31,2416930000,1265939000.0,845889000.0,848901000.0,340355000.0,49109000.0,768566000.0,738494000.0,140142000.0,13930000.0,13930000.0,,,,3012000.0,27574000.0,23637000.0,1749810000.0,675160000.0,303969000.0,230856000.0,7904000.0,7904000.0,272303000.0,,586301000.0,182000.0,586119000.0,586301000.0,-7904000.0,58197000.0,667120000.0,,-1139620000.0,123000.0,123090990.0,456262000,217070000,1557234000,1565882000.0,-61283000,285569000.0,231976000.0,517545000,189000.0,-32934000.0,,32934000.0,-3655000.0,22602000.0,17171000.0,106083000.0,-71426000,2588000,32934000.0,-74014000.0,-74014000.0,-38492000,67591000.0,-74014000,0.05,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,-0.06
2013,TXN,2013-12-31,18938000000,8019000000.0,1627000000.0,3829000000.0,1731000000.0,1203000000.0,10594000000.0,17000000000.0,3157000000.0,6585000000.0,2223000000.0,4362000000.0,,216000000.0,2202000000.0,863000000.0,264000000.0,8131000000.0,2747000000.0,422000000.0,,1000000000.0,0.0,4922000000.0,,5092000000.0,1000000000.0,4158000000.0,5092000000.0,651000000.0,216000000.0,-19790000000.0,19790000000.0,28173000000.0,1741000000.0,1086000000.0,6364000000,12205000000,5841000000,5841000000.0,185000000,1858000000.0,1522000000.0,4297000000,10000000.0,,,95000000.0,330000000.0,17000000.0,879000000.0,336000000.0,592000000,592000000,95000000.0,2162000000.0,2333000000.0,185000000,521000000.0,0,1.92,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,5.6
2013,UNH,2013-12-31,81882000000,20380000000.0,7276000000.0,9213000000.0,,3052000000.0,61502000000.0,4010000000.0,2675000000.0,35448000000.0,3844000000.0,31604000000.0,21860000000.0,19605000000.0,1937000000.0,8115000000.0,2439000000.0,48558000000.0,27881000000.0,,1600000000.0,1969000000.0,16739000000.0,18212000000.0,,19565000000.0,1969000000.0,14891000000.0,36304000000.0,12737000000.0,1525000000.0,32149000000.0,,33047000000.0,10000000.0,988000000.0,-79667000000,122489000000,202156000000,2839000000.0,9623000000,18941000000.0,,21883000000,745000000.0,-708000000.0,,708000000.0,109557000000.0,,445000000.0,1375000000.0,8867000000,3242000000,708000000.0,5673000000.0,4279000000.0,9575000000,10950000000.0,5625000000,5.5,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,12.87
2013,UNP,2013-12-31,49731000000,3990000000.0,1432000000.0,1432000000.0,653000000.0,1414000000.0,45719000000.0,43749000000.0,16063000000.0,425000000.0,425000000.0,,1321000000.0,1321000000.0,,223000000.0,671000000.0,28506000000.0,3791000000.0,803000000.0,,705000000.0,0.0,24715000000.0,,9577000000.0,705000000.0,,9577000000.0,3086000000.0,1680000000.0,21225000000.0,8910000000.0,23901000000.0,2774000000.0,456000998.0,11322000000,21963000000,10641000000,5834000000.0,7446000000,4807000000.0,,14517000000,4000000.0,-526000000.0,,526000000.0,-1000000.0,128000000.0,1777000000.0,1777000000.0,7048000000,2660000000,527000000.0,4388000000.0,9212000000.0,7574000000,9351000000.0,4388000000,4.71,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING",7.93
2013,UPS,2013-12-31,35553000000,13387000000.0,4665000000.0,5245000000.0,403000000.0,6502000000.0,22715000000.0,17961000000.0,21190000000.0,2965000000.0,775000000.0,2190000000.0,580000000.0,323000000.0,580000000.0,956000000.0,1022000000.0,29738000000.0,7131000000.0,2478000000.0,,48000000.0,48000000.0,22641000000.0,,10279000000.0,48000000.0,10824000000.0,10872000000.0,1561000000.0,1415000000.0,6474000000.0,69000000.0,6925000000.0,9000000.0,931000000.0,10735999987,55438000000,44702000013,13703000000.0,7034000000,29132000000.0,,35785000013,,-380000000.0,,380000000.0,76000000.0,20000000.0,,1867000000.0,6674000000,2302000000,380000000.0,4372000000.0,7266000000.0,7054000000,8921000000.0,4372000000,4.58,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),7.25
2013,V,2013-09-30,35956000000,7822000000.0,2186000000.0,4304000000.0,1583000000.0,761000000.0,31043000000.0,1732000000.0,1707000000.0,23032000000.0,11351000000.0,11681000000.0,4754000000.0,2760000000.0,2069000000.0,53000000.0,521000000.0,9086000000.0,4335000000.0,184000000.0,60000000.0,,2306000000.0,5204000000.0,,,,,,1785000000.0,602000000.0,26870000000.0,,7974000000.0,,780000000.0,9642000000,11778000000,2136000000,2400000000.0,7239000000,1327000000.0,,2131000000,22000000.0,27000000.0,,,,18000000.0,,397000000.0,7257000000,2277000000,,4980000000.0,5172000000.0,7239000000,7636000000.0,4980000000,1.87,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",4.6
2013,VRTX,2013-12-31,2319041000,1588576000.0,569299000.0,1465076000.0,14147000.0,85517000.0,730465000.0,696911000.0,308335000.0,30992000.0,105800000.0,30992000.0,,,895777000.0,524000.0,2562000.0,962636000.0,397829000.0,49327000.0,70969000.0,16893000.0,16893000.0,123870000.0,48754000.0,440937000.0,16893000.0,0.0,506584000.0,24736000.0,11590000.0,1356405000.0,,-3966895000.0,2320000.0,233788852.0,4977000,1211975000,1206998000,140635000.0,-610008000,356188000.0,882097000.0,2102186000,,,,22730000.0,870000.0,6890000.0,47300000.0,48365000.0,-567450000,-122422000,4230000.0,-503622000.0,-687306000.0,-610008000,504594000.0,-445028000,-0.72,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,4.09
2013,VZ,2013-12-31,274098000000,70994000000.0,53528000000.0,54129000000.0,1020000000.0,12439000000.0,128539000000.0,88956000000.0,131909000000.0,106181000000.0,5800000000.0,24634000000.0,59508000000.0,3432000000.0,601000000.0,3406000000.0,4535000000.0,224457000000.0,27050000000.0,4954000000.0,,3933000000.0,447000000.0,151632000000.0,,93144000000.0,3486000000.0,89658000000.0,93591000000.0,6664000000.0,5653000000.0,38415000000.0,3961000000.0,1782000000.0,297000000.0,2866000000.0,31968000000,120550000000,88582000000,44887000000.0,31968000000,27089000000.0,,49677000000,,-2667000000.0,,2667000000.0,,-166000000.0,15019000000.0,16606000000.0,17227000000,5730000000,2667000000.0,23547000000.0,11620000000.0,19894000000,36500000000.0,11497000000,2.84,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),4.71
2013,WFC,2013-12-31,1523502000000,207911000000.0,206168000000.0,207911000000.0,,,60763000000.0,9156000000.0,10072000000.0,32638000000.0,7001000000.0,25637000000.0,699364000000.0,18969000000.0,1743000000.0,,,1352494000000.0,54220000000.0,,,53883000000.0,53883000000.0,,,152998000000.0,,,206881000000.0,,,170142000000.0,8104000000.0,92361000000.0,9136000000.0,5270200000.0,33263000000,82105000000,48842000000,,24116000000,1868000000.0,,13451000000,,42800000000.0,47089000000.0,4289000000.0,40980000000.0,,,1200000000.0,32283000000,10405000000,4289000000.0,22224000000.0,17614000000.0,36572000000,37772000000.0,21878000000,3.89,FINANCE,NATIONAL COMMERCIAL BANKS,4.45
2013,WMT,2013-01-31,203105000000,59940000000.0,7781000000.0,7781000000.0,43803000000.0,6768000000.0,140413000000.0,113929000000.0,51896000000.0,20497000000.0,20497000000.0,20497000000.0,,,29000000.0,1588000000.0,5987000000.0,126762000000.0,71818000000.0,38080000000.0,575000000.0,12719000000.0,6805000000.0,41417000000.0,3023000000.0,43981000000.0,5587000000.0,38394000000.0,50786000000.0,15957000000.0,,76343000000.0,,72978000000.0,332000000.0,3341000000.0,116354000000,468651000000,352297000000,352488000000.0,27725000000,88629000000.0,,102993000000,187000000.0,-2063000000.0,262000000.0,2325000000.0,,,8400000000.0,8478000000.0,24957000000,7958000000,2325000000.0,16963000000.0,17822000000.0,27725000000,35760000000.0,16999000000,5.02,TRADE & SERVICES,RETAIL-VARIETY STORES,4.41
2013,XOM,2013-12-31,346808000000,59308000000.0,4644000000.0,4644000000.0,12117000000.0,33152000000.0,287500000000.0,243650000000.0,190867000000.0,7522000000.0,7522000000.0,,19734000000.0,19734000000.0,269000000.0,5108000000.0,7522000000.0,166313000000.0,71724000000.0,37615000000.0,,15808000000.0,14773000000.0,94589000000.0,,271000000.0,1034000000.0,6500000000.0,15045000000.0,48085000000.0,21780000000.0,174003000000.0,212781000000.0,387432000000.0,10077000000.0,4335000000.0,376585000000,420836000000,44251000000,30589000000.0,-3959000000,12877000000.0,1044000000.0,51941000000,87000000.0,-9000000.0,,9000000.0,192000000.0,13927000000.0,,17182000000.0,56843000000,24263000000,9000000.0,33448000000.0,34039000000.0,56852000000,57483000000.0,32580000000,7.37,ENERGY & TRANSPORTATION,PETROLEUM REFINING,4.88
2014,AAPL,2014-09-30,231839000000,68531000000.0,13844000000.0,25077000000.0,2111000000.0,27219000000.0,293470000000.0,20624000000.0,18391000000.0,8758000000.0,4142000000.0,4616000000.0,155239000000.0,130162000000.0,11233000000.0,9806000000.0,3764000000.0,120292000000.0,63448000000.0,30196000000.0,11522000000.0,6308000000.0,6308000000.0,52683000000.0,,28987000000.0,0.0,28987000000.0,35295000000.0,18453000000.0,24826000000.0,111547000000.0,,87152000000.0,23313000000.0,5866161000.0,70537000000,182411000000,131151000000,112258000000.0,52503000000,11993000000.0,6041000000.0,18034000000,1795000000.0,-384000000.0,,384000000.0,,-431000000.0,,6900000000.0,53483000000,13973000000,384000000.0,39510000000.0,41063000000.0,53867000000,60767000000.0,39510000000,1.6075,TECHNOLOGY,ELECTRONIC COMPUTERS,2.98
2014,ABBV,2014-12-31,27513000000,16081000000.0,8348000000.0,8374000000.0,1124000000.0,482000000.0,11459000000.0,2485000000.0,4620000000.0,7375000000.0,1513000000.0,5862000000.0,,92000000.0,26000000.0,2299000000.0,1480000000.0,25771000000.0,11393000000.0,1401000000.0,,4439000000.0,425000000.0,14405000000.0,,10565000000.0,4014000000.0,,425000000.0,6073000000.0,990000000.0,1742000000.0,972000000.0,535000000.0,16000000.0,1595000000.0,15534000000,18853000000,12590000000,4426000000.0,3411000000,7724000000.0,3649000000.0,11813000000,38000000.0,-429000000.0,,429000000.0,-678000000.0,27000000.0,383000000.0,403000000.0,2369000000,595000000,429000000.0,1774000000.0,185000000.0,2798000000,3201000000.0,1774000000,3.31,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,8.94
2014,ABT,2014-12-31,41207000000,13556000000.0,4063000000.0,4460000000.0,2643000000.0,3586000000.0,26014000000.0,5935000000.0,6697000000.0,16265000000.0,6198000000.0,10067000000.0,95000000.0,229000000.0,397000000.0,1975000000.0,3288000000.0,19681000000.0,10467000000.0,1064000000.0,,4437000000.0,4382000000.0,12839000000.0,,3448000000.0,55000000.0,3393000000.0,7830000000.0,4761000000.0,5600000000.0,21526000000.0,8678000000.0,22874000000.0,12383000000.0,1510498000.0,10474000000,20103000000,16378000000,9218000000.0,2599000000,6530000000.0,1345000000.0,8505000000,77000000.0,-150000000.0,,150000000.0,6000000.0,-14000000.0,918000000.0,630000000.0,3081000000,797000000,168000000.0,1721000000.0,-757000000.0,3231000000,3861000000.0,2284000000,2.28,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,3.24
2014,ADBE,2014-11-28,10785829000,4602328000.0,1117400000.0,3739491000.0,95586000.0,591800000.0,6103062000.0,785123000.0,914034000.0,5191624000.0,469662000.0,4721962000.0,2621600000.0,80439000.0,2622091000.0,175758000.0,126315000.0,4009924000.0,2494435000.0,68377000.0,1155324000.0,603229000.0,585692000.0,1515489000.0,,911086000.0,603229000.0,911086000.0,1496778000.0,740941000.0,73747000.0,6775905000.0,3918851000.0,6924294000.0,61000.0,497484000.0,3524985000,4147065000,622080000,622080000.0,412685000,2195640000.0,844353000.0,3112300000,21355000.0,-59732000.0,,59732000.0,-18840000.0,825000.0,,296900000.0,361376000,92981000,59732000.0,268395000.0,214198000.0,421108000,718008000.0,268395000,1.31,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,7.82
2014,ADI,2014-11-01,6859690000,3811886000.0,569233000.0,2900000000.0,367927000.0,396605000.0,2425382000.0,622422000.0,1855926000.0,2313840000.0,671402000.0,1642438000.0,643000.0,13397000.0,2330767000.0,180886000.0,49786000.0,2101793000.0,709056000.0,138967000.0,,0.0,872789000.0,1392737000.0,,872789000.0,0.0,872789000.0,872789000.0,291654000.0,263047000.0,4757897000.0,,4231496000.0,51869000.0,311204926.0,1830188000,2829989000,1595689000,1034585000.0,752484000,454676000.0,559686000.0,1077704000,12173000.0,-34784000.0,,34784000.0,0.0,-528000.0,114064000.0,27906000.0,729345000,100025000,34784000.0,629320000.0,541340000.0,764129000,792035000.0,629320000,2.4,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,5.14
