fiscalDateEnding,reportedEPS,symbol
2011-12-31,2.91,SPGI
2010-12-31,2.7,SPGI
2009-12-31,2.36,SPGI
2008-12-31,2.66,SPGI
2007-12-31,3.01,SPGI
2006-12-31,2.52,SPGI
2005-12-31,2.28,SPGI
2004-12-31,1.91,SPGI
2003-12-31,1.64,SPGI
2002-12-31,1.49,SPGI
2001-12-31,1.23,SPGI
2000-12-31,1.21,SPGI
1999-12-31,1.02,SPGI
1998-12-31,0.87,SPGI
1997-12-31,0.73,SPGI
1996-12-31,0.63,SPGI
2024-09-30,1.72,T
2023-12-31,2.41,T
2022-12-31,2.71,T
2021-12-31,3.4,T
2020-12-31,3.18,T
2019-12-31,3.58,T
2018-12-31,3.52,T
2017-12-31,3.05,T
2016-12-31,2.84,T
2015-12-31,2.69,T
2014-12-31,2.51,T
2013-12-31,2.5,T
2012-12-31,2.33,T
2011-12-31,2.2,T
2010-12-31,2.3,T
2009-12-31,2.12,T
2008-12-31,2.81,T
2007-12-31,2.77,T
2006-12-31,2.34,T
2005-12-31,1.72,T
2004-12-31,1.49,T
2003-12-31,1.55,T
2002-12-31,2.25,T
2001-12-31,2.35,T
2000-12-31,2.24,T
1999-12-31,2.33,T
1998-12-31,2.09,T
1997-12-31,1.85,T
1996-12-31,1.73,T
2024-11-30,0.7,NKE
2024-05-31,3.96,NKE
2023-05-31,3.23,NKE
2022-05-31,3.76,NKE
2021-05-31,3.56,NKE
2020-05-31,1.83,NKE
2019-05-31,2.49,NKE
2018-05-31,2.4,NKE
2017-05-31,2.51,NKE
2016-05-31,2.16,NKE
2015-05-31,1.86,NKE
2014-05-31,1.5,NKE
2013-05-31,1.34,NKE
2012-05-31,1.18,NKE
2011-05-31,1.1,NKE
2010-05-31,0.97,NKE
2009-05-31,0.96,NKE
2008-05-31,0.94,NKE
2007-05-31,0.73,NKE
2006-05-31,0.67,NKE
2005-05-31,0.56,NKE
2004-05-31,0.43,NKE
2003-05-31,0.35,NKE
2002-05-31,0.31,NKE
2001-05-31,0.28,NKE
2000-05-31,0.27,NKE
1999-05-31,0.21,NKE
1998-05-31,0.21,NKE
1997-05-31,0.35,NKE
1996-05-31,0.24,NKE
2024-10-31,1.56,PANW
2024-07-31,5.67,PANW
2023-07-31,4.42,PANW
2022-07-31,2.53,PANW
2021-07-31,2.05,PANW
2020-07-31,1.63,PANW
2019-07-31,1.82,PANW
2018-07-31,1.3,PANW
2017-07-31,0.9,PANW
2016-07-31,0.56,PANW
2015-07-31,0.28,PANW
2014-07-31,0.14,PANW
2013-07-31,0.07,PANW
2012-07-31,0.01,PANW
2024-09-30,10.05,V
2023-09-30,8.76,V
2022-09-30,7.51,V
2021-09-30,5.91,V
2020-09-30,5.03,V
2019-09-30,5.45,V
2018-09-30,4.6,V
2017-09-30,3.48,V
2016-09-30,2.84,V
2015-09-30,2.51,V
2014-09-30,2.19,V
2013-09-30,1.87,V
2012-09-30,1.55,V
2011-09-30,1.26,V
2010-09-30,1.01,V
2009-09-30,0.74,V
2008-09-30,0.42,V
2024-09-30,4.96,DIS
2023-09-30,3.77,DIS
2022-09-30,3.53,DIS
2021-09-30,2.28,DIS
2020-09-30,2.01,DIS
2019-09-30,5.87,DIS
2018-09-30,7.08,DIS
2017-09-30,5.7,DIS
2016-09-30,5.71,DIS
2015-09-30,5.15,DIS
2014-09-30,4.32,DIS
2013-09-30,3.38,DIS
2012-09-30,3.07,DIS
2011-09-30,2.54,DIS
2010-09-30,2.07,DIS
2009-09-30,1.82,DIS
2008-09-30,2.26,DIS
2007-09-30,1.92,DIS
2006-09-30,1.61,DIS
2005-09-30,1.31,DIS
2004-09-30,1.09,DIS
2003-09-30,0.64,DIS
2002-09-30,0.56,DIS
2001-09-30,0.74,DIS
2000-09-30,0.88,DIS
1999-09-30,0.66,DIS
1998-09-30,0.88,DIS
1997-09-30,0.92,DIS
1996-09-30,0.52,DIS
2024-11-30,0.0,MU
2024-08-31,1.27,MU
2023-08-31,-4.45,MU
2022-08-31,8.34,MU
2021-08-31,6.06,MU
2020-08-31,2.83,MU
2019-08-31,6.29,MU
2018-08-31,11.95,MU
2017-08-31,4.86,MU
2016-08-31,0.06,MU
2015-08-31,2.69,MU
2014-08-31,3.18,MU
2013-08-31,-0.31,MU
2012-08-31,-1.04,MU
2011-08-31,0.15,MU
2010-08-31,1.39,MU
2009-08-31,-2.2,MU
2008-08-31,-1.32,MU
2007-08-31,-0.42,MU
2006-08-31,0.25,MU
2005-08-31,0.27,MU
2004-08-31,0.2303,MU
2003-08-31,-1.91,MU
2002-08-31,-0.71,MU
2001-08-31,0.06,MU
2000-08-31,2.56,MU
1999-08-31,-0.14,MU
1998-08-31,-0.59,MU
1997-08-31,0.52,MU
1996-08-31,1.32,MU
2024-09-30,4.11,WFC
2023-12-31,5.16,WFC
2022-12-31,3.61,WFC
2021-12-31,4.9,WFC
2020-12-31,0.41,WFC
2019-12-31,4.33,WFC
2018-12-31,4.45,WFC
2017-12-31,4.08,WFC
2016-12-31,4.06,WFC
2015-12-31,4.15,WFC
2014-12-31,4.1,WFC
2013-12-31,3.89,WFC
2012-12-31,3.37,WFC
2011-12-31,2.82,WFC
2010-12-31,2.21,WFC
2009-12-31,1.77,WFC
2008-12-31,0.83,WFC
2007-12-31,2.4166,WFC
2006-12-31,2.4936,WFC
2005-12-31,2.25,WFC
2004-12-31,2.05,WFC
2003-12-31,1.83,WFC
2002-12-31,1.66,WFC
2001-12-31,1.0035,WFC
2000-12-31,1.28,WFC
1999-12-31,1.12,WFC
1998-12-31,0.97,WFC
1997-12-31,0.88,WFC
1996-12-31,0.78,WFC
2024-09-30,3.49,VZ
2023-12-31,4.71,VZ
2022-12-31,5.17,VZ
2021-12-31,5.4,VZ
2020-12-31,4.9,VZ
2019-12-31,4.81,VZ
2018-12-31,4.71,VZ
2017-12-31,3.75,VZ
2016-12-31,3.87,VZ
2015-12-31,3.99,VZ
2014-12-31,3.42,VZ
2013-12-31,2.84,VZ
2012-12-31,2.32,VZ
2011-12-31,2.16,VZ
2010-12-31,2.24,VZ
2009-12-31,2.4,VZ
2008-12-31,2.55,VZ
2007-12-31,2.37,VZ
2006-12-31,2.54,VZ
2005-12-31,2.56,VZ
2004-12-31,2.51,VZ
2003-12-31,2.62,VZ
2002-12-31,3.05,VZ
2001-12-31,3.01,VZ
2000-12-31,3.11,VZ
1999-12-31,2.99,VZ
1998-12-31,2.72,VZ
1997-12-31,2.43,VZ
1996-12-31,2.14,VZ
2024-09-30,5.35,DHR
2023-12-31,8.52,DHR
2022-12-31,10.95,DHR
2021-12-31,10.06,DHR
2020-12-31,6.29,DHR
2019-12-31,4.7,DHR
2018-12-31,4.52,DHR
2017-12-31,4.03,DHR
2016-12-31,4.25,DHR
2015-12-31,4.33,DHR
2014-12-31,3.68,DHR
2013-12-31,3.42,DHR
2012-12-31,3.18,DHR
2011-12-31,2.84,DHR
2010-12-31,2.31,DHR
2009-12-31,1.77,DHR
2008-12-31,2.13,DHR
2007-12-31,1.93,DHR
2006-12-31,1.63,DHR
2005-12-31,1.39,DHR
2004-12-31,1.16,DHR
2003-12-31,0.82,DHR
2002-12-31,0.7,DHR
2001-12-31,0.58,DHR
2000-12-31,0.55,DHR
1999-12-31,0.46,DHR
1998-12-31,0.39,DHR
1997-12-31,0.33,DHR
1996-12-31,0.27,DHR
2024-09-30,5.79,COP
2023-12-31,8.78,COP
2022-12-31,13.49,COP
2021-12-31,6.0,COP
2020-12-31,-0.97,COP
2019-12-31,3.59,COP
2018-12-31,4.54,COP
2017-12-31,0.73,COP
2016-12-31,-2.66,COP
2015-12-31,-1.39,COP
2014-12-31,5.31,COP
2013-12-31,5.7,COP
2012-12-31,6.11,COP
2011-12-31,8.77,COP
2010-12-31,5.96,COP
2009-12-31,3.65,COP
2008-12-31,10.61,COP
2007-12-31,9.14,COP
2006-12-31,9.99,COP
2005-12-31,9.35,COP
2004-12-31,5.8,COP
2003-12-31,3.35,COP
2002-12-31,1.49,COP
2001-12-31,3.11,COP
2000-12-31,3.74,COP
1999-12-31,1.09,COP
1998-12-31,0.365,COP
1997-12-31,1.75,COP
1996-12-31,1.7,COP
2024-09-30,6.49,ANET
2023-12-31,6.92,ANET
2022-12-31,4.58,ANET
2021-12-31,2.87,ANET
2020-12-31,2.27,ANET
2019-12-31,2.43,ANET
2018-12-31,1.99,ANET
2017-12-31,1.41,ANET
2016-12-31,0.83,ANET
2015-12-31,0.62,ANET
2014-12-31,0.32,ANET
2024-09-30,3.33,ABT
2023-12-31,4.44,ABT
2022-12-31,5.34,ABT
2021-12-31,5.21,ABT
2020-12-31,3.65,ABT
2019-12-31,3.24,ABT
2018-12-31,2.88,ABT
2017-12-31,2.5,ABT
2016-12-31,2.2,ABT
2015-12-31,2.15,ABT
2014-12-31,2.28,ABT
2013-12-31,2.01,ABT
2012-12-31,5.07,ABT
2011-12-31,4.66,ABT
2010-12-31,4.17,ABT
2009-12-31,3.72,ABT
2008-12-31,3.32,ABT
2007-12-31,2.84,ABT
2006-12-31,2.52,ABT
2005-12-31,2.5,ABT
2004-12-31,2.31,ABT
2003-12-31,2.21,ABT
2002-12-31,2.06,ABT
2001-12-31,1.88,ABT
2000-12-31,1.78,ABT
1999-12-31,1.67,ABT
1998-12-31,1.51,ABT
1997-12-31,1.37,ABT
1996-12-31,1.21,ABT
2024-09-30,13.07,JPM
2023-12-31,16.22,JPM
2022-12-31,12.44,JPM
2021-12-31,15.44,JPM
2020-12-31,8.87,JPM
2019-12-31,10.41,JPM
2018-12-31,8.87,JPM
2017-12-31,6.88,JPM
2016-12-31,6.06,JPM
2015-12-31,5.99,JPM
2014-12-31,5.29,JPM
2013-12-31,6.01,JPM
2012-12-31,5.27,JPM
2011-12-31,4.47,JPM
2010-12-31,3.6,JPM
2009-12-31,2.24,JPM
2008-12-31,1.4,JPM
2007-12-31,4.37,JPM
2006-12-31,3.86,JPM
2005-12-31,2.95,JPM
2004-12-31,3.01,JPM
2003-12-31,3.25,JPM
2002-12-31,1.24,JPM
2001-12-31,1.97,JPM
2000-12-31,3.06,JPM
1999-12-31,4.17,JPM
1998-12-31,3.03,JPM
1997-12-31,2.75,JPM
1996-12-31,2.5,JPM
2024-09-30,15.9,META
2023-12-31,14.9,META
2022-12-31,8.58,META
2021-12-31,13.8,META
2020-12-31,9.79,META
2019-12-31,8.56,META
2018-12-31,7.57,META
2017-12-31,6.42,META
2016-12-31,4.24,META
2015-12-31,2.28,META
2014-12-31,1.73,META
2013-12-31,0.87,META
2012-12-31,0.4745,META
2024-09-30,1.69,TSLA
2023-12-31,3.13,TSLA
2022-12-31,4.07,TSLA
2021-12-31,2.26,TSLA
2020-12-31,0.75,TSLA
2019-12-31,0.07,TSLA
2018-12-31,-0.06,TSLA
2017-12-31,-0.57,TSLA
2016-12-31,-0.11,TSLA
2015-12-31,-1.3,TSLA
2014-12-31,0.03,TSLA
2013-12-31,0.05,TSLA
2012-12-31,-0.21,TSLA
2011-12-31,-0.16,TSLA
2010-12-31,-0.0771,TSLA
2024-09-30,6.93,MMC
2023-12-31,7.88,MMC
2022-12-31,6.84,MMC
2021-12-31,6.18,MMC
2020-12-31,4.97,MMC
2019-12-31,4.66,MMC
2018-12-31,4.35,MMC
2017-12-31,3.84,MMC
2016-12-31,3.41,MMC
2015-12-31,3.05,MMC
2014-12-31,2.82,MMC
2013-12-31,2.48,MMC
2012-12-31,2.15,MMC
2011-12-31,1.76,MMC
2010-12-31,1.65,MMC
2009-12-31,1.59,MMC
2008-12-31,1.45,MMC
2007-12-31,1.19,MMC
2006-12-31,1.56,MMC
2005-12-31,1.33,MMC
2004-12-31,0.43,MMC
2003-12-31,2.82,MMC
2002-12-31,2.46,MMC
2001-12-31,2.13,MMC
2000-12-31,2.06,MMC
1999-12-31,1.77,MMC
1998-12-31,1.52,MMC
1997-12-31,1.22,MMC
1996-12-31,1.05,MMC
2024-09-30,5.72,MS
2023-12-31,5.31,MS
2022-12-31,6.14,MS
2021-12-31,8.03,MS
2020-12-31,6.55,MS
2019-12-31,5.19,MS
2018-12-31,4.67,MS
2017-12-31,3.59,MS
2016-12-31,2.91,MS
2015-12-31,2.41,MS
2014-12-31,2.32,MS
2013-12-31,2.06,MS
2012-12-31,1.78,MS
2011-12-31,1.12,MS
2010-12-31,2.31,MS
2009-12-31,-1.07,MS
2007-12-31,1.46,MS
2006-12-31,7.85,MS
2005-12-31,5.13,MS
2004-12-31,4.3,MS
2003-12-31,3.75,MS
2002-12-31,2.9,MS
2001-12-31,3.01,MS
2000-12-31,4.34,MS
1999-12-31,4.57,MS
1998-12-31,3.035,MS
1997-12-31,2.267,MS
1996-12-31,1.3916,MS
2024-09-30,2.33,ADP
2024-06-30,9.18,ADP
2023-06-30,8.23,ADP
2022-06-30,7.01,ADP
2021-06-30,6.02,ADP
2020-06-30,5.92,ADP
2019-06-30,5.45,ADP
2018-06-30,4.34,ADP
2017-06-30,3.7,ADP
2016-06-30,3.26,ADP
2015-06-30,2.91,ADP
2014-06-30,3.17,ADP
2013-06-30,2.88,ADP
2012-06-30,2.74,ADP
2011-06-30,2.51,ADP
2010-06-30,2.37,ADP
2009-06-30,2.38,ADP
2008-06-30,2.19,ADP
2007-06-30,1.94,ADP
2006-06-30,1.84,ADP
2005-06-30,1.78,ADP
2004-06-30,1.56,ADP
2003-06-30,1.67,ADP
2002-06-30,1.75,ADP
2001-06-30,1.52,ADP
2000-06-30,1.31,ADP
1999-06-30,1.14,ADP
1998-06-30,1.01,ADP
1997-06-30,0.9,ADP
1996-06-30,1.299,ADP
2024-09-30,10.21,QCOM
2023-09-30,8.41,QCOM
2022-09-30,12.53,QCOM
2021-09-30,8.54,QCOM
2020-09-30,4.18,QCOM
2019-09-30,3.55,QCOM
2018-09-30,3.43,QCOM
2017-09-30,4.28,QCOM
2016-09-30,4.45,QCOM
2015-09-30,4.64,QCOM
2014-09-30,5.02,QCOM
2013-09-30,4.51,QCOM
2012-09-30,3.72,QCOM
2011-09-30,3.21,QCOM
2010-09-30,2.46,QCOM
2009-09-30,1.9,QCOM
2008-09-30,2.24,QCOM
2007-09-30,2.02,QCOM
2006-09-30,1.64,QCOM
2005-09-30,1.17,QCOM
2004-09-30,1.1,QCOM
2003-09-30,0.71,QCOM
2002-09-30,0.5,QCOM
2001-09-30,0.51,QCOM
2000-09-30,0.53,QCOM
1999-09-30,0.29,QCOM
1998-09-30,0.11,QCOM
1997-09-30,0.07,QCOM
1996-09-30,0.0126,QCOM
2024-09-30,3.37,CMCSA
2023-12-31,3.97,CMCSA
2022-12-31,3.65,CMCSA
2021-12-31,3.24,CMCSA
2020-12-31,2.61,CMCSA
2019-12-31,3.12,CMCSA
2018-12-31,2.56,CMCSA
2017-12-31,2.06,CMCSA
2016-12-31,1.77,CMCSA
2015-12-31,1.64,CMCSA
2014-12-31,1.46,CMCSA
2013-12-31,1.25,CMCSA
2012-12-31,0.97,CMCSA
2011-12-31,0.79,CMCSA
2010-12-31,0.66,CMCSA
2009-12-31,0.65,CMCSA
2008-12-31,0.48,CMCSA
2007-12-31,0.38,CMCSA
2006-12-31,0.3,CMCSA
2005-12-31,0.16,CMCSA
2004-12-31,0.14,CMCSA
2003-12-31,-0.0033,CMCSA
2002-12-31,0.26,CMCSA
2001-12-31,-0.52,CMCSA
2000-12-31,0.32,CMCSA
1999-12-31,-0.08,CMCSA
1998-12-31,0.5026,CMCSA
1997-12-31,-0.05,CMCSA
1996-12-31,-0.02,CMCSA
2024-09-30,2.48,PFE
2023-12-31,1.83,PFE
2022-12-31,6.63,PFE
2021-12-31,4.42,PFE
2020-12-31,2.72,PFE
2019-12-31,2.95,PFE
2018-12-31,3.0,PFE
2017-12-31,2.65,PFE
2016-12-31,2.39,PFE
2015-12-31,2.2,PFE
2014-12-31,2.26,PFE
2013-12-31,2.24,PFE
2012-12-31,2.2,PFE
2011-12-31,2.32,PFE
2010-12-31,2.23,PFE
2009-12-31,2.02,PFE
2008-12-31,2.43,PFE
2007-12-31,2.2,PFE
2006-12-31,2.08,PFE
2005-12-31,2.02,PFE
2004-12-31,2.12,PFE
2003-12-31,1.75,PFE
2002-12-31,1.59,PFE
2001-12-31,1.31,PFE
2000-12-31,1.05,PFE
1999-12-31,0.88,PFE
1998-12-31,0.7,PFE
1997-12-31,0.57,PFE
1996-12-31,0.5,PFE
2024-09-30,21.11,UNH
2023-12-31,25.12,UNH
2022-12-31,22.19,UNH
2021-12-31,19.01,UNH
2020-12-31,16.87,UNH
2019-12-31,15.11,UNH
2018-12-31,12.87,UNH
2017-12-31,10.08,UNH
2016-12-31,7.99,UNH
2015-12-31,6.15,UNH
2014-12-31,5.7,UNH
2013-12-31,5.5,UNH
2012-12-31,5.28,UNH
2011-12-31,4.72,UNH
2010-12-31,4.21,UNH
2009-12-31,3.24,UNH
2008-12-31,2.96,UNH
2007-12-31,3.48,UNH
2006-12-31,2.98,UNH
2005-12-31,2.48,UNH
2004-12-31,1.98,UNH
2003-12-31,1.49,UNH
2002-12-31,1.06,UNH
2001-12-31,0.7,UNH
2000-12-31,0.53,UNH
1999-12-31,0.4,UNH
1998-12-31,0.32,UNH
1997-12-31,0.28,UNH
1996-12-31,0.25,UNH
2024-09-30,14.51,AMGN
2023-12-31,18.65,AMGN
2022-12-31,17.69,AMGN
2021-12-31,17.11,AMGN
2020-12-31,16.6,AMGN
2019-12-31,14.83,AMGN
2018-12-31,14.41,AMGN
2017-12-31,12.58,AMGN
2016-12-31,11.65,AMGN
2015-12-31,10.38,AMGN
2014-12-31,8.7,AMGN
2013-12-31,7.61,AMGN
2012-12-31,6.51,AMGN
2011-12-31,5.32,AMGN
2010-12-31,5.21,AMGN
2009-12-31,4.91,AMGN
2008-12-31,4.55,AMGN
2007-12-31,4.28,AMGN
2006-12-31,3.9,AMGN
2005-12-31,3.2,AMGN
2004-12-31,2.41,AMGN
2003-12-31,1.9,AMGN
2002-12-31,1.39,AMGN
2001-12-31,1.18,AMGN
2000-12-31,1.06,AMGN
1999-12-31,1.02,AMGN
1998-12-31,0.83,AMGN
1997-12-31,0.68,AMGN
1996-12-31,0.61,AMGN
2024-09-30,5.9,GOOG
2023-12-31,5.8,GOOG
2022-12-31,4.55,GOOG
2021-12-31,5.6,GOOG
2020-12-31,2.9435,GOOG
2019-12-31,2.459,GOOG
2018-12-31,2.185,GOOG
2017-12-31,1.6005,GOOG
2016-12-31,1.717,GOOG
2015-12-31,1.479,GOOG
2014-12-31,13.0115,GOOG
2024-10-31,3.435,AVGO
2023-10-31,4.225,AVGO
2022-10-31,3.764,AVGO
2021-10-31,2.8,AVGO
2020-10-31,2.214,AVGO
2019-10-31,2.131,AVGO
2018-10-31,2.083,AVGO
2017-10-31,1.601,AVGO
2016-10-31,1.13,AVGO
2015-10-31,0.897,AVGO
2014-10-31,0.494,AVGO
2013-10-31,0.268,AVGO
2012-10-31,0.255,AVGO
2011-10-31,0.255,AVGO
2010-10-31,0.198,AVGO
2009-10-31,0.0289,AVGO
2024-09-30,3.44,KKR
2023-12-31,3.42,KKR
2022-12-31,3.89,KKR
2021-12-31,4.44,KKR
2020-12-31,1.78,KKR
2019-12-31,1.67,KKR
2018-12-31,2.06,KKR
2017-12-31,2.38,KKR
2016-12-31,0.69,KKR
2015-12-31,1.21,KKR
2014-12-31,1.99,KKR
2013-12-31,2.98,KKR
2012-12-31,2.9,KKR
2011-12-31,0.74,KKR
2010-12-31,3.0,KKR
2009-12-31,2.59,KKR
2024-09-30,20.04,LMT
2023-12-31,27.85,LMT
2022-12-31,21.71,LMT
2021-12-31,23.29,LMT
2020-12-31,24.92,LMT
2019-12-31,21.68,LMT
2018-12-31,17.86,LMT
2017-12-31,13.34,LMT
2016-12-31,12.38,LMT
2015-12-31,11.39,LMT
2014-12-31,11.4,LMT
2013-12-31,9.58,LMT
2012-12-31,8.52,LMT
2011-12-31,7.82,LMT
2010-12-31,7.23,LMT
2009-12-31,7.8,LMT
2008-12-31,7.87,LMT
2007-12-31,7.11,LMT
2006-12-31,5.82,LMT
2005-12-31,4.1,LMT
2004-12-31,2.83,LMT
2003-12-31,2.34,LMT
2002-12-31,2.59,LMT
2001-12-31,1.48,LMT
2000-12-31,1.07,LMT
1999-12-31,1.47,LMT
1998-12-31,3.13,LMT
1997-12-31,3.03,LMT
1996-12-31,2.71,LMT
2024-10-31,1.85,WMT
2024-01-31,5.44,WMT
2023-01-31,6.28,WMT
2022-01-31,6.45,WMT
2021-01-31,5.54,WMT
2020-01-31,4.94,WMT
2019-01-31,4.92,WMT
2018-01-31,4.41,WMT
2017-01-31,4.33,WMT
2016-01-31,4.59,WMT
2015-01-31,5.07,WMT
2014-01-31,5.13,WMT
2013-01-31,5.02,WMT
2012-01-31,4.48,WMT
2011-01-31,4.09,WMT
2010-01-31,3.66,WMT
2009-01-31,3.42,WMT
2008-01-31,3.13,WMT
2007-01-31,2.89,WMT
2006-01-31,2.63,WMT
2005-01-31,2.41,WMT
2004-01-31,2.02,WMT
2003-01-31,1.81,WMT
2002-01-31,1.5,WMT
2001-01-31,1.42,WMT
2000-01-31,1.28,WMT
1999-01-31,1.0,WMT
1998-01-31,0.78,WMT
1997-01-31,0.68,WMT
2024-09-30,0.86,LRCX
2024-06-30,30.3,LRCX
2023-06-30,34.1,LRCX
2022-06-30,33.12,LRCX
2021-06-30,27.28,LRCX
2020-06-30,15.95,LRCX
2019-06-30,14.55,LRCX
2018-06-30,17.9,LRCX
2017-06-30,9.96,LRCX
2016-06-30,6.37,LRCX
2015-06-30,5.05,LRCX
2014-06-30,4.42,LRCX
2013-06-30,2.22,LRCX
2012-06-30,2.07,LRCX
2011-06-30,5.85,LRCX
2010-06-30,2.61,LRCX
2009-06-30,-0.99,LRCX
2008-06-30,2.7676,LRCX
2007-06-30,3.5581,LRCX
2006-06-30,2.51,LRCX
2005-06-30,2.14,LRCX
2004-06-30,0.62,LRCX
2003-06-30,0.09,LRCX
2002-06-30,0.06,LRCX
2001-06-30,1.67,LRCX
2000-06-30,1.34,LRCX
1999-06-30,-0.48,LRCX
1998-06-30,0.0,LRCX
1997-06-30,0.21,LRCX
1996-06-30,1.55,LRCX
2024-09-30,7.32,HON
2023-12-31,9.17,HON
